Date,USD/KRW,USD Index,Dollar Gap
2021-05-24,1123.48,89.84,7.9965820486345995
2021-05-25,1122.36,89.64,7.9867422217470345
2021-05-26,1116.61,90.04,8.063692784409957
2021-05-27,1118.55,89.97,8.043449108220464
2021-05-28,1113.08,90.03,8.088367412944264
2021-05-31,1106.58,90.03,8.1358781109364
2021-06-01,1108.38,89.83,8.104621158808351
2021-06-02,1110.92,89.91,8.093292046231952
2021-06-03,1116.46,90.51,8.106873510918438
2021-06-04,1110.52,90.14,8.116918200482658
2021-06-07,1110.62,89.95,8.099079793268626
2021-06-08,1117.72,90.08,8.059263500697849
2021-06-09,1115.61,90.12,8.078091806276388
2021-06-10,1112.32,90.07,8.09748993095512
2021-06-11,1116.4,90.56,8.111787889645287
2021-06-14,1116.33,90.52,8.108713373285676
2021-06-15,1117.09,90.54,8.104987064605359
2021-06-16,1132.68,91.13,8.04552035879507
2021-06-17,1134.3,91.89,8.101031473155249
2021-06-18,1134.94,92.22,8.125539676106225
2021-06-21,1131.4,91.9,8.122679865653174
2021-06-22,1133.57,91.76,8.094780207662518
2021-06-23,1135.85,91.8,8.082053087995774
2021-06-24,1130.78,91.81,8.119174375210033
2021-06-25,1127.12,91.85,8.149087940946838
2021-06-28,1130.04,91.89,8.131570563873845
2021-06-29,1131.62,92.05,8.134356055919833
2021-06-30,1130.48,92.44,8.17705753308329
2021-07-01,1134.33,92.6,8.16340923717084
2021-07-02,1130.53,92.23,8.15812052754018
2021-07-05,1130.42,92.21,8.157145131897877
2021-07-06,1136.75,92.55,8.141631845172641
2021-07-07,1141.5,92.64,8.115637319316688
2021-07-08,1146.59,92.42,8.060422644537281
2021-07-09,1143.73,92.13,8.0552228235685
2021-07-12,1146.85,92.26,8.044644024937874
2021-07-13,1149.94,92.75,8.06563820721081
2021-07-14,1144.22,92.41,8.076244078935868
2021-07-15,1141.59,92.62,8.113245561015777
2021-07-16,1141.51,92.69,8.119946386803445
2021-07-19,1150.83,92.89,8.071565739509746
2021-07-20,1147.47,92.97,8.10217260581976
2021-07-21,1149.31,92.75,8.070059426960524
2021-07-22,1150.55,92.82,8.067446004085003
2021-07-23,1151.52,92.91,8.068466027511462
2021-07-26,1152.54,92.65,8.038766550401723
2021-07-27,1154.25,92.43,8.007797270955166
2021-07-28,1150.27,92.32,8.025941735418641
2021-07-29,1143.12,91.86,8.035901742599203
2021-07-30,1151.41,92.17,8.004967822061646
2021-08-02,1150.18,92.05,8.003095167712878
2021-08-03,1148.44,92.08,8.01783288635018
2021-08-04,1144.76,92.27,8.060204759076138
2021-08-05,1142.59,92.24,8.07288703734498
2021-08-06,1144.93,92.8,8.105299013913514
2021-08-09,1146.89,92.94,8.103654230135408
2021-08-10,1152.7,93.06,8.073219397935283
2021-08-11,1153.98,92.92,8.05213261928283
2021-08-12,1162.98,93.04,8.000137577602366
2021-08-13,1161.37,92.52,7.966453412779735
2021-08-16,1165.28,92.63,7.9491624330632975
2021-08-17,1177.3,93.13,7.910473116452901
2021-08-18,1170.03,93.14,7.960479645821048
2021-08-19,1176.28,93.57,7.954738667664161
2021-08-20,1175.15,93.5,7.956431093902905
2021-08-23,1169.36,92.96,7.949647670520626
2021-08-24,1163.65,92.89,7.982640828427791
2021-08-25,1163.87,92.82,7.975117495940269
2021-08-26,1170.53,93.06,7.950244760920268
2021-08-27,1161.23,92.69,7.982053512224106
2021-08-30,1164.34,92.65,7.957297696549119
2021-08-31,1158.73,92.63,7.994096985492736
2021-09-01,1155.47,92.45,8.001073156377924
2021-09-02,1158.05,92.22,7.963386727688787
2021-09-03,1154.28,92.04,7.973801850504211
2021-09-06,1157.04,92.04,7.954781165733252
2021-09-07,1161.98,92.51,7.961410695536928
2021-09-08,1166.54,92.65,7.94229087729525
2021-09-09,1169.64,92.48,7.906706336992579
2021-09-10,1170.23,92.58,7.911265306820027
2021-09-13,1172.83,92.68,7.90225352352856
2021-09-14,1172.23,92.62,7.901179802598467
2021-09-15,1166.23,92.55,7.935827409687625
2021-09-16,1175.19,92.93,7.90765748517261
2021-09-17,1180.69,93.19,7.892842321015676
2021-09-20,1185.67,93.28,7.86728179004276
2021-09-21,1183.96,93.2,7.871887563769047
2021-09-22,1181.75,93.46,7.908610112121853
2021-09-23,1174.63,93.03,7.919940747299149
2021-09-24,1179.68,93.33,7.911467516614675
2021-09-27,1177.94,93.38,7.927398679049865
2021-09-28,1187.16,93.77,7.898682570167457
2021-09-29,1187.11,94.34,7.9470310249260825
2021-09-30,1184.23,94.23,7.957069150418415
2021-10-01,1180.35,94.04,7.9671283941203885
2021-10-04,1184.12,93.78,7.9198054251258325
2021-10-05,1186.48,93.97,7.9200660778099925
2021-10-06,1190.21,94.27,7.920451012846471
2021-10-07,1190.88,94.22,7.9117963186887
2021-10-08,1196.79,94.07,7.86019268209126
2021-10-11,1195.3,94.32,7.890906048690704
2021-10-12,1197.29,94.52,7.894495068028632
2021-10-13,1186.18,94.08,7.931342629280547
2021-10-14,1181.69,93.96,7.9513239512900995
2021-10-15,1182.07,93.94,7.947075892290643
2021-10-18,1185.47,93.95,7.925126742979578
2021-10-19,1175.13,93.73,7.976138810174193
2021-10-20,1175.63,93.56,7.958286195486675
2021-10-21,1177.78,93.77,7.961588751719336
2021-10-22,1177.48,93.64,7.952576689200666
2021-10-25,1168.02,93.81,8.031540555812402
2021-10-26,1167.95,93.95,8.044008733250568
2021-10-27,1172.05,93.8,8.003071541316496
2021-10-28,1168.44,93.35,7.989284858443736
2021-10-29,1174.47,94.12,8.013827513687025
2021-11-01,1177.45,93.88,7.973162342349993
2021-11-02,1178.48,94.09,7.984013305274591
2021-11-03,1178.78,93.86,7.962469672033798
2021-11-04,1185.75,94.35,7.956989247311827
2021-11-05,1181.05,94.32,7.986114051056263
2021-11-08,1180.84,94.05,7.964669218522408
2021-11-09,1178.4,93.96,7.9735234215885935
2021-11-10,1185.04,94.85,8.003949233781139
2021-11-11,1182.39,95.18,8.04979744415971
2021-11-12,1179.2,95.13,8.067333785617366
2021-11-15,1183.42,95.41,8.062226428486927
2021-11-16,1183.85,95.92,8.102377835029777
2021-11-17,1180.46,95.83,8.118021788116495
2021-11-18,1182.37,95.54,8.080380929827381
2021-11-19,1187.1,96.03,8.089461713419258
2021-11-22,1190.08,96.55,8.112899973111052
2021-11-23,1189.08,96.49,8.114676893060182
2021-11-24,1188.77,96.88,8.149600006729644
2021-11-25,1190.16,96.77,8.13083955098474
2021-11-26,1194.43,96.09,8.044841472501528
2021-11-29,1190.69,96.34,8.091106837212036
2021-11-30,1182.71,95.99,8.11610623060598
2021-12-01,1176.93,96.03,8.15936376844842
2021-12-02,1176.74,96.16,8.171728674133623
2021-12-03,1181.0,96.12,8.138865368331922
2021-12-06,1180.54,96.33,8.159825164755112
2021-12-07,1176.73,96.37,8.189644183457547
2021-12-08,1175.19,95.89,8.159531650201243
2021-12-09,1178.15,96.27,8.171285489963077
2021-12-10,1180.86,96.1,8.138136612299512
2021-12-13,1184.91,96.32,8.128887426049234
2021-12-14,1185.19,96.57,8.148060648503614
2021-12-15,1184.57,96.51,8.14726018724094
2021-12-16,1186.29,96.04,8.095828170177613
2021-12-17,1187.7,96.57,8.130841121495326
2021-12-20,1189.53,96.55,8.116651114305649
2021-12-21,1190.67,96.49,8.103840694734895
2021-12-22,1190.21,96.08,8.07252501659371
2021-12-23,1185.55,96.02,8.099194466703217
2021-12-27,1185.61,96.09,8.104688725634906
2021-12-28,1188.09,96.2,8.097029686303227
2021-12-29,1184.7,95.93,8.097408626656538
2021-12-30,1189.36,95.97,8.069045537095581
2021-12-31,1187.96,95.97,8.078554833496076
2022-01-03,1193.0,96.21,8.064543168482816
2022-01-04,1197.49,96.26,8.038480488354809
2022-01-05,1198.2,96.17,8.026205975630111
2022-01-06,1204.95,96.32,7.993692684343748
2022-01-07,1197.63,95.72,7.992451758890475
2022-01-10,1198.04,95.99,8.012253347133653
2022-01-11,1192.31,95.62,8.019726413432748
2022-01-12,1185.87,94.92,8.004250044271295
2022-01-13,1186.11,94.79,7.991670249808197
2022-01-14,1190.07,95.17,7.997008579327266
2022-01-17,1189.99,95.26,8.005109286632662
2022-01-18,1192.69,95.73,8.026394117499098
2022-01-19,1188.13,95.51,8.038682635738512
2022-01-20,1192.42,95.74,8.029050166887505
2022-01-21,1192.51,95.64,8.020058532003924
2022-01-24,1195.59,95.92,8.022817186493699
2022-01-25,1196.35,95.95,8.02022819409036
2022-01-26,1197.03,96.39,8.05242976366507
2022-01-27,1203.77,97.25,8.078785814565906
2022-01-28,1209.56,97.27,8.04176725420814
2022-01-31,1204.63,96.54,8.014079011812756
2022-02-01,1202.31,96.39,8.017067145744443
2022-02-02,1199.46,95.94,7.998599369716372
2022-02-03,1199.47,95.38,7.951845398384286
2022-02-04,1198.25,95.49,7.969121635718757
2022-02-07,1196.87,95.4,7.970790478498084
2022-02-08,1196.35,95.64,7.9943160446357675
2022-02-09,1194.05,95.49,7.997152548050751
2022-02-10,1199.83,95.55,7.963628180658927
2022-02-11,1199.48,96.08,8.010137726348084
2022-02-14,1197.32,96.37,8.048809006781815
2022-02-15,1196.76,95.99,8.020822888465522
2022-02-16,1196.53,95.7,7.998127919901717
2022-02-17,1198.63,95.8,7.9924580562809195
2022-02-18,1195.59,96.04,8.03285407204811
2022-02-21,1193.68,96.08,8.04905837410361
2022-02-22,1191.9,96.03,8.056883966775736
2022-02-23,1192.44,96.19,8.066653248800778
2022-02-24,1206.05,97.14,8.054392438124456
2022-02-25,1197.57,96.61,8.067169351269655
2022-02-28,1200.12,96.71,8.058360830583608
2022-03-01,1205.32,97.41,8.081671257425414
2022-03-02,1203.16,97.39,8.094517769872668
2022-03-03,1205.54,97.79,8.111717570549299
2022-03-04,1217.45,98.65,8.103002176680766
2022-03-07,1232.14,99.29,8.058337526579772
2022-03-08,1233.53,99.06,8.030611334949292
2022-03-09,1223.13,97.97,8.009778192015565
2022-03-10,1228.83,98.51,8.016568605909688
2022-03-11,1237.08,99.12,8.012416335241053
2022-03-14,1240.64,99.0,7.979752385865359
2022-03-15,1240.62,99.1,7.987941513114411
2022-03-16,1225.35,98.62,8.048312726975967
2022-03-17,1209.89,97.97,8.097430344907387
2022-03-18,1211.15,98.23,8.11047351690542
2022-03-21,1217.55,98.5,8.09001683709088
2022-03-22,1215.07,98.49,8.105705844107746
2022-03-23,1218.62,98.62,8.092760663701565
2022-03-24,1219.58,98.79,8.100329621673035
2022-03-25,1225.08,98.79,8.063963169752181
2022-03-28,1223.65,99.09,8.097903812364645
2022-03-29,1207.35,98.4,8.150080755373338
2022-03-30,1210.31,97.79,8.0797481636936
2022-03-31,1214.17,98.31,8.096889232973965
2022-04-01,1219.73,98.63,8.086215801857788
2022-04-04,1213.75,99.0,8.15653964984552
2022-04-05,1218.22,99.47,8.165191837270772
2022-04-06,1217.48,99.6,8.180832539343562
2022-04-07,1222.55,99.75,8.159175493844833
2022-04-08,1229.19,99.8,8.11916790732108
2022-04-11,1234.32,99.93,8.095955667898115
2022-04-12,1228.08,100.29,8.166406097322652
2022-04-13,1223.23,99.88,8.16526736590829
2022-04-14,1230.15,100.32,8.155103036215095
2022-04-15,1228.19,100.32,8.168117310839527
2022-04-18,1235.22,100.78,8.158870484610029
2022-04-19,1239.53,100.96,8.14502271022081
2022-04-20,1233.66,100.39,8.137574372193312
2022-04-21,1242.81,100.58,8.092950652151174
2022-04-22,1244.11,101.22,8.135936532943228
2022-04-25,1250.1,101.75,8.139348852091834
2022-04-26,1260.67,102.3,8.114732642166466
2022-04-27,1266.27,102.95,8.130177608251005
2022-04-28,1272.11,103.62,8.1455220067447
2022-04-29,1263.48,102.96,8.148922024883653
2022-05-02,1267.51,103.74,8.184550812222389
2022-05-03,1260.35,103.46,8.208830880311025
2022-05-04,1251.51,102.59,8.197297664421379
2022-05-05,1269.2,103.75,8.174440592499211
2022-05-06,1269.99,103.66,8.162268994244048
2022-05-09,1274.28,103.65,8.134005085224597
2022-05-10,1276.48,103.92,8.141138129857108
2022-05-11,1279.03,103.85,8.119434258774227
2022-05-12,1290.72,104.85,8.123373001115656
2022-05-13,1278.45,104.56,8.17865383863272
2022-05-16,1280.38,104.19,8.137427951077022
2022-05-17,1266.5,103.36,8.161073825503355
2022-05-18,1275.33,103.81,8.139853998572919
2022-05-19,1262.61,102.72,8.13552878561076
2022-05-20,1273.59,103.15,8.099152788574033
2022-05-22,1274.21,102.95,8.079515935363872
